"Country","PT","PGR","PUP","P60P","P15P","TFR","IMR","I3R","HER","HGR","HGGR","NDP","NNMP","NPP","NMP","HPP","HPHP","NMPP","HGDP","DR1","DR2","DR3","DR4","TBN","NMN","YCP","YIP","YNCP"
"Marshall Islands",58,2.2,66,6,32,3.9,94,93,73.1,97.1,15.1,4,152,24,30,100,2.9,6.3,15.3,125,526,62,997,220,24,31,10,59
"Mauritania",3044,2.7,41,5,40,4.5,67,75,17.8,68.6,5.3,64,1893,313,6,100,31.4,5.8,2.2,158,451,138,884,316,40,79,9,12
"Mauritius",1252,0.8,42,10,24,1.9,98,97,1,50.4,9.2,233,4604,1303,37,81.5,49.6,3.5,4.3,79,434,42,701,23,9,11,13,75
"Mexico",105342,1,76,9,30,2.3,96,98,0,43.3,11,78281,88678,195897,9,92.5,56.7,0.5,6.2,88,163,58,503,21,11,27,19,54
"Micronesia (Federated States of)",111,0.5,22,5,38,3.9,92,79,61,90.5,18.9,10,250,60,23,45.2,9.5,4.2,12,93,410,39,782,101,11,40,9,51
"Moldova",3833,-1.1,47,15,19,1.4,96,92,5.7,56.4,11.8,1521,26029,11153,62,96.6,43.6,2.3,7.8,116,619,97,923,141,12,11,18,71
"Monaco",33,0.3,100,21,18,1.8,99,99,0,74.2,15.6,34,464,186,145,84.2,25.8,2.5,4.6,120,115,41,325,2,2,7,16,77
"Mongolia",2605,0.9,57,6,28,1.9,98,95,2,83.6,11,337,8826,6732,35,84,16.4,1.3,5.1,306,488,96,968,188,18,37,16,47
"Morocco",30853,1.2,59,8,30,2.4,95,95,1,35.9,5.5,3091,24328,15991,8,76,64.1,1.5,5.1,67,411,48,675,93,24,44,12,44
"Mozambique",20971,2.1,35,5,44,5.2,77,72,56.8,69.4,12.6,159,6183,514,3,39.7,30.6,10.7,4.7,124,371,66,720,443,35,91,2,7
"Myanmar",48379,0.9,31,8,27,2.1,81,86,13.9,16.8,1.8,1396,49341,17791,10,99.4,83.2,2.7,2.3,115,432,105,796,171,49,60,11,29
"Namibia",2047,1.3,36,5,38,3.3,69,86,21.9,64.4,10.1,113,6145,598,31,15.2,35.6,10.2,4.9,146,385,93,754,767,20,83,6,10
"Nauru",10,0.2,100,6,32,3.1,99,99,0,55.3,25,1,63,10,49,65.5,44.7,6.3,10.8,138,666,132,1137,106,14,19,13,68
"Nepal",27641,2,16,6,38,3.4,81,82,15.7,30.5,9.2,359,11825,5384,5,85.2,69.5,2.2,5.7,118,436,108,796,176,32,64,11,25
"Netherlands",16379,0.3,81,20,18,1.7,96,96,0,81.8,16.4,7994,239172,60519,146,33,18.2,3.9,9.3,155,171,23,443,8,3,7,8,85
"New Zealand",4140,1,86,17,21,2,79,88,0,77.8,18.6,1620,34538,8190,89,74.6,22.2,4.2,9.4,139,175,37,423,9,3,5,17,79
"Nicaragua",5532,1.3,59,6,37,2.8,99,87,9.3,54.7,16,243,5862,2045,11,92.6,45.3,2.9,7.8,120,305,73,655,58,16,46,17,36
"Niger",13737,3.5,17,5,48,7.3,47,39,26.4,52.7,10.6,15,2818,296,2,85.2,47.3,11.5,4,169,456,163,916,174,41,87,6,7
"Nigeria",144720,2.4,49,5,44,5.5,62,54,5.9,30.1,3.5,2482,210306,34923,17,90.4,69.9,6.1,4.1,157,452,132,889,311,47,83,7,10
"Norway",4669,0.6,77,20,19,1.8,92,93,0,83.6,17.9,4126,75326,17523,162,95.2,16.4,4.3,8.7,137,181,35,416,6,2,5,12,83
"Oman",2546,1.6,71,4,33,3.1,97,99,0,84,5.4,460,9516,4290,37,63.7,16,2.2,2.3,105,409,41,688,13,5,24,19,57
"Pakistan",160943,1.8,35,6,36,3.6,80,83,3.2,16.4,1.3,15790,70698,126350,5,97.9,83.6,0.6,2,107,425,99,743,181,53,70,8,21
"Palau",20,0.5,70,6,32,2.5,91,94,12.5,92.5,16.4,2,121,30,61,100,7.5,3.8,10.7,92,396,39,744,51,13,28,10,63
"Panama",3288,1.7,72,9,30,2.6,89,88,0.2,68.8,11.5,2231,8158,4431,28,80.6,31.2,1.8,7.3,108,182,49,430,45,11,38,18,44
"Papua New Guinea",6202,2.2,13,4,40,4,58,60,11.3,82.7,7.3,90,2841,275,5,42.6,17.3,10.6,3.2,118,442,104,815,250,32,64,11,25
